CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,ctra. de Terrassa,208,HEAVEN BY LOUNGE YUNES,activitat_econòmica,Establiments de begudes,41.5459,2.10946,,,,sabadellempresa.cat,HOSTAFRANCS,1,"ctra. de Terrassa, 208 Bxs 1a",Establiments de begudes
,rda. de Ponent,59,HES IDIOMAS,activitat_econòmica,Activitats de les agències de viatges,41.5422,2.11101,,,,sabadellempresa.cat,HOSTAFRANCS,1,"rda. de Ponent, 59 Bxs E",Activitats de les agències de viatges
,c. de Blasco de Garay,95,HIJOS DE MIGUEL SALA S L,activitat_econòmica,"Fabricació de maquinària per a les indústries tèxtils, de la confecció i del cui",41.545,2.10583,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Blasco de Garay, 95 Bxs","Fabricació de maquinària per a les indústries tèxtils, de la confecció i del cuir"
,c. de la Unió,236,HOME STORE,activitat_econòmica,Altres tipus de comerç al detall en establiments no especialitzats,41.5511,2.1095,,,,sabadellempresa.cat,EL CENTRE,1,"c. de la Unió, 236 Bxs 1a",Altres tipus de comerç al detall en establiments no especialitzats
,ctra. de Terrassa,172,HONDA VC MOTO,activitat_econòmica,Venda d'automòbils i vehicles de motor lleuger,41.5478,2.10562,,,,sabadellempresa.cat,HOSTAFRANCS,1,"ctra. de Terrassa, 172 Bxs",Venda d'automòbils i vehicles de motor lleuger
,c. de Sant Oleguer,77,HOSPITAL VETERINARI DE SABADELL,activitat_econòmica,Activitats veterinàries,41.5458,2.1104,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Oleguer, 77A Bxs 2a",Activitats veterinàries
,ctra. de Terrassa,114,HOTEL RIC,activitat_econòmica,Hotels i allotjaments similars,41.5511,2.10781,,,,sabadellempresa.cat,HOSTAFRANCS,1,"ctra. de Terrassa, 114 Bxs",Hotels i allotjaments similars
,c. de Sant Baldomer,76,HUGO HOME,activitat_econòmica,Altres tipus de comerç al detall en establiments no especialitzats,41.5454,2.10809,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Sant Baldomer, 76 Bxs",Altres tipus de comerç al detall en establiments no especialitzats
,c. de Sant Llorenç,76,HUMAN,activitat_econòmica,Activitats de disseny especialitzat,41.5493,2.10911,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Llorenç, 76 Bxs 2a",Activitats de disseny especialitzat
,pg. de Manresa,7,IBERICUS,activitat_econòmica,Comerç al detall de carn i productes carnis en establiments especialitzats,41.5488,2.1084,,,,sabadellempresa.cat,EL CENTRE,1,"pg. de Manresa, 7 Bxs",Comerç al detall de carn i productes carnis en establiments especialitzats
,c. del Sol,16,ICC,activitat_econòmica,Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessoramen,41.5459,2.10946,,,,sabadellempresa.cat,EL CENTRE,1,"c. del Sol, 16 2n",Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessorament tècnic
,c. de Bonavista,65,IDEEM INNOVA,activitat_econòmica,Serveis tècnics d'arquitectura,41.542,2.11111,,,,sabadellempresa.cat,COVADONGA,1,"c. de Bonavista, 65 Bxs",Serveis tècnics d'arquitectura
,c. de Jovellanos,6,IDIOMES SABADELL,activitat_econòmica,Altres activitats d'educació ncaa,41.5464,2.10657,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Jovellanos, 6 1r 2a",Altres activitats d'educació ncaa
,Rambla,151,IF ASSESSORS,activitat_econòmica,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",41.5467,2.09547,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 151 Bxs 7a","Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal"
,c. de Lacy,39,IF ASSESSORS,activitat_econòmica,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",41.5463,2.11035,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Lacy, 39 Bxs","Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal"
,c. de Sant Llorenç,16,IGNY GYM STUDIO,activitat_econòmica,Gestió d'instal·lacions esportives,41.5465,2.10785,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Llorenç, 16 Bxs 2a",Gestió d'instal·lacions esportives
,pl. de Sant Roc,17,IL CAFFÉ DI FRANCESCO,activitat_econòmica,Establiments de begudes,41.5452,2.11051,,,,sabadellempresa.cat,EL CENTRE,1,"pl. de Sant Roc, 17 Bxs",Establiments de begudes
,c. de Joaquín Costa,6,IL DUOMO CAFFE,activitat_econòmica,Restaurants i establiments de menjars,41.5443,2.10052,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Joaquín Costa, 6 Bxs",Restaurants i establiments de menjars
,via de Massagué,28,IL GRANDE DESIDERIO SL,activitat_econòmica,Dipòsit i emmagatzematge,41.5454,2.10844,,,,sabadellempresa.cat,EL CENTRE,1,"via de Massagué, 28 Bxs",Dipòsit i emmagatzematge
